stamp,x,y,z,qw,qx,qy,qz
1642400998.626519913,0.670227,0.423382,-0.097721,0.715565,-0.695150,-0.040362,0.055726
1642400999.047847632,0.625190,0.467849,0.065964,0.712636,-0.698174,-0.041314,0.054728
1642400999.549177809,0.605065,0.464227,0.282724,0.707391,-0.703492,-0.042090,0.054087
1642401000.008853547,0.593906,0.458511,0.446412,0.709521,-0.701352,-0.042455,0.053686
1642401000.334175682,0.587208,0.456245,0.560770,0.710656,-0.700232,-0.040966,0.054445
1642401000.987173843,0.583711,0.446085,0.817291,0.710912,-0.699946,-0.041621,0.054297
1642401001.420127823,0.594325,0.442816,1.033783,0.712138,-0.698714,-0.043537,0.052560
1642401001.852202621,0.604691,0.452603,1.250019,0.713810,-0.696965,-0.040997,0.055095
1642401002.346310286,0.617806,0.454722,1.471869,0.712990,-0.697862,-0.045422,0.050709
1642401002.716292281,0.635882,0.460524,1.639416,0.715138,-0.695623,-0.048768,0.048050
1642401003.118839549,0.649282,0.469171,1.826071,0.716185,-0.694593,-0.046781,0.049304
1642401003.415588408,0.645057,0.475277,1.946570,0.714569,-0.696232,-0.041456,0.054171
1642401003.782047341,0.646196,0.492109,2.099105,0.715796,-0.694951,-0.044308,0.052120
1642401004.181294654,0.656747,0.494309,2.298324,0.721694,-0.688858,-0.051604,0.044380
1642401004.588390057,0.639684,0.518135,2.466147,0.719754,-0.690852,-0.042902,0.053270
1642401004.904875766,0.612375,0.528480,2.606834,0.724253,-0.686067,-0.039957,0.056323
1642401005.269615408,0.588726,0.532680,2.759767,0.720108,-0.690411,-0.038266,0.057555
1642401005.675012928,0.579220,0.537240,2.978736,0.723658,-0.686739,-0.041223,0.054863
1642401006.040760457,0.583674,0.531769,3.228197,0.717613,-0.693131,-0.045801,0.050035
1642401006.469965675,0.598770,0.520491,3.587497,0.720867,-0.689770,-0.048244,0.047342
1642401007.019133202,0.621849,0.505448,4.040212,0.717499,-0.693178,-0.049527,0.047401
1642401007.456342576,0.633795,0.505198,4.335916,0.718778,-0.691964,-0.047441,0.047884
1642401007.910685272,0.657752,0.491407,4.670704,0.716798,-0.693846,-0.056692,0.039553
1642401008.344221308,0.654067,0.472867,5.000186,0.715394,-0.695250,-0.038033,0.058240
1642401008.824232978,0.679889,0.495906,5.354596,0.723867,-0.686507,-0.053903,0.042647
1642401009.273701774,0.666443,0.508475,5.638080,0.721557,-0.689063,-0.046331,0.049001
1642401009.717611540,0.679401,0.527418,5.743764,0.724192,-0.686143,-0.057241,0.038439
1642401010.478999735,0.697356,0.556305,5.532118,0.722910,-0.687464,-0.059461,0.035468
1642401010.965354319,0.721946,0.579185,5.269136,0.720760,-0.689609,-0.062132,0.032933
1642401011.381640232,0.727032,0.597790,4.874342,0.723700,-0.686663,-0.056366,0.039700
1642401011.914231854,0.713044,0.611848,4.665439,0.720604,-0.690009,-0.049344,0.046728
1642401012.752118643,0.686572,0.572254,4.682776,0.715088,-0.695746,-0.051048,0.044516
1642401013.481385251,0.730742,0.567351,4.720378,0.723944,-0.686502,-0.054680,0.040370
1642401013.925595886,0.738035,0.553044,4.715959,0.720120,-0.690572,-0.050824,0.044212
1642401014.407284094,0.740326,0.545912,4.745705,0.686703,-0.723738,-0.056044,0.038752
1642401015.301059238,0.719242,0.492584,4.726462,0.427626,-0.901446,-0.063764,0.021563
1642401015.753563665,0.704919,0.458753,4.706220,0.355830,-0.932079,-0.064519,0.021240
1642401016.073350194,0.699504,0.432980,4.704786,0.355011,-0.932436,-0.064073,0.020620
1642401016.808792610,0.697199,0.398706,4.700570,0.242725,-0.967722,-0.065447,0.017760
1642401017.353585669,0.704333,0.386846,4.706098,0.120608,-0.990355,-0.068084,-0.003862
1642401017.977496883,0.718370,0.408559,4.700931,0.112166,-0.991343,-0.068212,-0.002325
1642401018.756962414,0.749373,0.384073,4.687313,0.078864,-0.994466,-0.069027,-0.007281
1642401019.414322562,0.794117,0.364577,4.674728,0.037765,-0.996586,-0.068760,-0.025720
1642401019.943198254,0.811068,0.369115,4.661461,0.031583,-0.997059,-0.067538,-0.017742
1642401020.589757724,0.821572,0.344266,4.640783,0.012831,-0.997650,-0.067080,-0.005430
1642401021.083111904,0.806853,0.327282,4.636058,-0.001822,-0.997489,-0.068931,-0.016157
1642401021.577994941,0.729834,0.394494,4.648514,0.001148,-0.997691,-0.067891,0.001613
1642401022.153501212,0.660253,0.561812,4.609621,-0.001540,-0.997370,-0.069669,-0.019925
