stamp,x,y,z,qw,qx,qy,qz
1642401180.808936558,4.67939,1.27589,0.133915,0.999855,0.0158575,-0.00311496,-0.00535945
1642401181.349573200,4.68844,1.28059,0.0831193,0.999847,0.0162191,0.00156394,-0.00643088
1642401181.828130127,4.68845,1.27765,0.196163,0.935141,-0.352269,0.0332227,-0.0177258
1642401182.344972929,4.68869,1.28764,0.136138,0.99985,0.0164777,-0.00332885,-0.00427234
1642401182.959929988,4.69981,1.30532,0.0349452,0.999769,0.016101,0.0107493,-0.00936041
1642401183.541293406,4.69878,1.28759,0.139003,0.928291,-0.369931,0.0332949,-0.0178373
1642401183.813237240,4.68654,1.29783,0.127123,0.999925,0.0108346,-0.000622771,-0.00569308
1642401184.525201820,4.69736,1.28271,-0.134821,0.999884,0.0118932,0.00487897,-0.00815126
1642401185.181270301,4.7169,1.29242,-0.00343721,0.921744,-0.385334,0.0398405,-0.0178599
1642401185.688557242,4.71259,1.28833,0.00930594,0.918915,-0.39251,0.0338255,-0.01968
1642401186.248045569,4.70873,1.29001,-0.00111401,0.999945,0.00809004,0.000459116,-0.00664253
1642401186.808042127,4.69837,1.28986,-0.0363031,0.999975,0.000407692,0.00348628,-0.00606911
